PURPOSE CODE,ACTIVITY CODE,DESCRIPTION,,
Education,,,,
11000,,"Education, combinations of purposes",,
"Education, level unspecified",,,,
11100,,"Education, level unspecified, combinations of purposes",,
11105,,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes",,
,11105.01,"Education, level unspecified, activity unspecified or does not fit under any other applicable codes",,
11110,,Education policy and administrative management,,
,11110.01,"Education policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,11110.02,"Education sector policy, planning and programs",,
,11110.03,"Institution capacity building, Education",,
,11110.04,"Aid to education ministries, administration and management systems",,
,11110.05,School management and governance,,
,11110.06,Curriculum development,,
11120,,Education facilities and training,,
,11120.01,"Education facilities and training, activity unspecified or does not fit elsewhere in group",,
,11120.02,"Educational equipment, supplies, and materials",,
,11120.03,"Subsidiary services to education (boarding facilities, staff housing)",,
,11120.04,Language training,,
,11120.05,Education infrastructure,,
,11120.06,"Colloquia, seminars, lectures, etc.",,
11130,,Teacher training,,
,11130.01,"Teacher training activities, level unspecified",,
,11130.02,In-service and pre-service training,,
,11130.03,Materials Development,,
11182,,Educational research,,
,11182.01,"Educational research, activity unspecified or does not fit elsewhere in group",,
,11182.02,"Research and studies on education effectiveness, relevance and quality",,
,11182.03,Systematic evaluation and monitoring,,
Basic education,,,,
11220,,Primary education,,
,11220.01,"Basic/Primary education, activity unspecified or does not fit under any other applicable codes",,
,11220.02,"Basic education, policy and administrative management",,
,11220.03,Basic education infrastructure,,
,11220.04,Formal and non-formal primary education for children,,
,11220.05,"Provision of learning materials, equipment, supplies",,
,11220.06,"Primary education, teacher training",,
11230,,Basic life skills for youth and adults,,
,11230.01,"Basic life skills for youth and adults, activity unspecified",,
,11230.02,Formal and non-formal education for basic life skills for young people and adults (adult education),,
,11230.03,Literacy and numeracy training,,
11240,,Early childhood education,,
,11240.01,"Early childhood education, activity unspecified or does not fit elsewhere in group",,
,11240.02,Formal and non-formal pre-school education,,
Secondary education,,,,
11320,,Secondary education,,
,11320.01,"Secondary education, activity unspecified or does not fit under any other applicable codes",,
,11320.02,"Secondary education, policy and administrative management",,
,11320.03,Secondary education infrastructure,,
,11320.04,Formal and non-formal secondary education,,
,11320.05,"Provision of learning materials, equipment, supplies",,
,11320.06,Scholarships,,
,11320.07,"Secondary education, teacher training",,
11330,,Vocational training,,
,11330.01,"Vocational training, activity unspecified",,
,11330.02,Elementary vocational training and secondary level technical education,,
,11330.03,On the job training,,
,11330.04,Apprenticeships,,
Post-secondary education,,,,
11420,,Higher education,,
,11420.01,"Post-secondary education, activity unspecified or does not fit elsewhere in group",,
,11420.02,"Post-secondary education, policy and administrative management",,
,11420.03,Post-secondary education infrastructure,,
,11420.04,Formal and non-formal post-secondary education,,
,11420.05,"Provision of learning materials, equipment, supplies",,
,11420.06,Scholarships for post-secondary education,,
,11420.07,"Post-secondary education, teacher training",,
11430,,Advanced technical and managerial training,,
,11430.01,"Advanced technical and managerial training, activity unspecified",,
,11430.02,Professional-level vocational training programs,,
,11430.03,On the job training,,
,11430.04,Apprenticeships,,
,11430.05,Managerial Training,,
Health,,,,
12000,,"Health, combination of general, basic, and population policy/reproductive health purposes",,
12005,,"Health, purpose unspecified or does not fit under any other applicable codes",,
,12005.01,"Health, activity unspecified or does not fit under any other applicable codes",,
"Health, general",,,,
12100,,"Health, general, combinations of activities",,
12105,,"Health, general, purpose unspecified or does not fit under any other applicable codes",,
,12105.01,"Health, general, activity unspecified",,
12110,,Health policy and administrative management,,
,12110.01,"Health policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,12110.02,"Health sector policy, planning and programs",,
,12110.03,"Institution capacity building, Health general",,
,12110.04,"Aid to health ministries, public health administration",,
,12110.05,Medical insurance programs,,
12181,,Medical education/training,,
,12181.01,All medical education/training activities,,
12182,,Medical research,,
,12182.01,All general medical research activities,,
12191,,Medical services,,
,12191.01,"Medical services, activity unspecified or does not fit elsewhere in group",,
,12191.02,Laboratories,,
,12191.03,Specialized clinics and hospitals,,
,12191.04,Specialized medical equipment and supplies,,
,12191.05,Ambulances,,
,12191.06,Dental services,,
,12191.07,Mental health care,,
,12191.08,Control of non-infectious diseases,,
,12191.09,Drug and substance abuse control and counseling,,
Basic health,,,,
12220,,Basic health care,,
,12220.01,"Basic health care, activity unspecified or does not fit elsewhere in group",,
,12220.02,Basic/primary health care programs,,
,12220.03,Paramedical and nursing care programs,,
,12220.04,"Supply of drugs, medicines and vaccines (basic)",,
12230,,Basic health infrastructure,,
,12230.01,"Basic health infrastructure, activity unspecified or does not fit elsewhere in group",,
,12230.02,"Basic hospitals, clinics and dispensaries",,
,12230.03,Basic health medical equipment and supplies,,
12240,,Basic nutrition,,
,12240.01,"Basic nutrition, activity unspecified or does not fit elsewhere in group",,
,12240.02,Direct feeding programs,,
,12240.03,Monitoring of nutritional status,,
,12240.04,"Provision of nutrients (vitamin A, iodine, iron)",,
,12240.05,Nutrition and food hygiene education,,
,12240.06,Household food security,,
12250,,Infectious & Parasitic disease control,,
,12250.01,All prevention and control activities,,
,12250.02,"Other infectious and parasitic disease, control",,
,12250.03,Malaria control,,
,12250.04,Tuberculosis control,,
,12250.05,Helminthiasis,,
,12250.06,Polio,,
,12250.07,Acute respiratory infections,,
12261,,Health education,,
,12261.01,"Health education, activity unspecified or does not fit elsewhere in group",,
,12261.02,"Information, education and training",,
,12261.03,Public health and awareness campaigns,,
12281,,Health personnel development,,
,12281.01,"All staff training, basic health care services",,
Population Policies/ Programs and Reproductive Health,,,,
13000,,"Population policies/ programs and reproductive health, combinations of activities",,
13005,,"Population policies/ programs and reproductive health, purpose unspecified or does not fit under any other applicable codes",,
,13005.01,"Population policies/ programs and reproductive health, activity unspecified",,
13010,,Population policy and administrative management,,
,13010.01,"Population policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,13010.02,Population/development policies,,
,13010.03,"Institution capacity building, Population policy and reproductive health",,
